resume,job_description,label
"Experienced developer skilled in Flask, Python, Redis, Next.js, Node.js.","We are looking for a developer with experience in TypeScript, Kubernetes, Docker, PostgreSQL, Django.",0
"Experienced developer skilled in PostgreSQL, GraphQL, Node.js, Kubernetes, Next.js.","We are looking for a developer with experience in PostgreSQL, GraphQL, Node.js, Kubernetes, Next.js.",1
"Experienced developer skilled in GraphQL, Next.js, Python, Node.js, Redis.","We are looking for a developer with experience in PostgreSQL, Flask, AWS, Django, Express.js.",0
"Experienced developer skilled in GraphQL, AWS, Express.js, Python, Flask.","We are looking for a developer with experience in GraphQL, AWS, Express.js, Python, Flask.",1
"Experienced developer skilled in Flask, GraphQL, TypeScript, Django, Kubernetes.","We are looking for a developer with experience in PostgreSQL, Kafka, React, Python, AWS.",0
"Experienced developer skilled in Django, Next.js, Flask, React, Kafka.","We are looking for a developer with experience in Django, Next.js, Flask, React, Kafka.",1
"Experienced developer skilled in GraphQL, Python, Django, Flask, Node.js.","We are looking for a developer with experience in Kubernetes, Next.js, Redis, PostgreSQL, React.",0
"Experienced developer skilled in GraphQL, AWS, PostgreSQL, Flask, Redis.","We are looking for a developer with experience in GraphQL, AWS, PostgreSQL, Flask, Redis.",1
"Experienced developer skilled in Kafka, MongoDB, Express.js, Kubernetes, Next.js.","We are looking for a developer with experience in PostgreSQL, Flask, TypeScript, Node.js, Redis.",0
"Experienced developer skilled in TypeScript, Node.js, React, Flask, Kubernetes.","We are looking for a developer with experience in TypeScript, Node.js, React, Flask, Kubernetes.",1
"Experienced developer skilled in PostgreSQL, Docker, GraphQL, Redis, AWS.","We are looking for a developer with experience in TypeScript, Python, React, Kubernetes, Next.js.",0
"Experienced developer skilled in AWS, Node.js, Express.js, Docker, MongoDB.","We are looking for a developer with experience in AWS, Node.js, Express.js, Docker, MongoDB.",1
"Experienced developer skilled in Express.js, Kafka, React, Node.js, Python.","We are looking for a developer with experience in Docker, Flask, AWS, Next.js, TypeScript.",0
